id,model,effort,plan,price_usd,real_usd_per_mtok,score,tok_per_task
ollama_max::deepseek-v4-pro,DeepSeek V4 Pro,max,Ollama Max,100,0.01419,36.2829,55154
ollama_max::glm-5.3,GLM 5.3,max,Ollama Max,100,0.09967,44.8557,71178
ollama_max::glm-5.3-flash,GLM 5.3 Flash,none,Ollama Max,100,0.01141,41.9074,68673
ollama_pro::deepseek-v4-flash,DeepSeek V4 Flash,max,Ollama Pro,20,0.00462,34.5282,62054
ollama_pro::deepseek-v4-pro,DeepSeek V4 Pro,max,Ollama Pro,20,0.01419,36.2829,55154
ollama_pro::glm-5.3,GLM 5.3,max,Ollama Pro,20,0.09965,44.8557,71178
ollama_pro::glm-5.3-flash,GLM 5.3 Flash,none,Ollama Pro,20,0.01141,41.9074,68673
opencode_go::deepseek-v4-pro,DeepSeek V4 Pro,max,OpenCode Go,10,0.02838,36.2829,55154
opencode_go::glm-5.3,GLM 5.3,max,OpenCode Go,10,0.1992,44.8557,71178
opencode_go::glm-5.3-flash,GLM 5.3 Flash,none,OpenCode Go,10,0.02282,41.9074,68673
opencode_go::gpt-5.6-luna,GPT 5.6 Luna,max,OpenCode Go,10,0.01867,37.5048,41235
opencode_go::grok-4.6,Grok 4.6,high,OpenCode Go,10,0.36765,44.405,35835
opencode_go::grok-4.6,Grok 4.6,medium,OpenCode Go,10,0.36765,43.0112,28466
opencode_go::grok-4.6,Grok 4.6,xhigh,OpenCode Go,10,0.36765,44.2702,37608
opencode_go::qwen3.8-flash,Qwen3.8 Flash,none,OpenCode Go,10,0.00682,40,107885
supergrok::grok-4.6,Grok 4.6,high,SuperGrok,30,0.05894,44.405,35835
supergrok::grok-4.6,Grok 4.6,medium,SuperGrok,30,0.05894,43.0112,28466
supergrok::grok-4.6,Grok 4.6,xhigh,SuperGrok,30,0.05894,44.2702,37608
supergrok_heavy::grok-4.6,Grok 4.6,high,SuperGrok Heavy,300,0.05894,44.405,35835
supergrok_heavy::grok-4.6,Grok 4.6,medium,SuperGrok Heavy,300,0.05894,43.0112,28466
supergrok_heavy::grok-4.6,Grok 4.6,xhigh,SuperGrok Heavy,300,0.05894,44.2702,37608
supergrok_lite::grok-4.6,Grok 4.6,high,SuperGrok Lite,10,0.06667,44.405,35835
supergrok_lite::grok-4.6,Grok 4.6,medium,SuperGrok Lite,10,0.06667,43.0112,28466
supergrok_lite::grok-4.6,Grok 4.6,xhigh,SuperGrok Lite,10,0.06667,44.2702,37608
supergrok_plus::grok-4.6,Grok 4.6,high,SuperGrok Plus,100,0.04902,44.405,35835
supergrok_plus::grok-4.6,Grok 4.6,medium,SuperGrok Plus,100,0.04902,43.0112,28466
supergrok_plus::grok-4.6,Grok 4.6,xhigh,SuperGrok Plus,100,0.04902,44.2702,37608
supergrok_plus_yearly::grok-4.6,Grok 4.6,high,SuperGrok Plus (yearly),83.33,0.04085,44.405,35835
supergrok_plus_yearly::grok-4.6,Grok 4.6,medium,SuperGrok Plus (yearly),83.33,0.04085,43.0112,28466
supergrok_plus_yearly::grok-4.6,Grok 4.6,xhigh,SuperGrok Plus (yearly),83.33,0.04085,44.2702,37608
supergrok_yearly::grok-4.6,Grok 4.6,high,SuperGrok (yearly),25,0.04912,44.405,35835
supergrok_yearly::grok-4.6,Grok 4.6,medium,SuperGrok (yearly),25,0.04912,43.0112,28466
supergrok_yearly::grok-4.6,Grok 4.6,xhigh,SuperGrok (yearly),25,0.04912,44.2702,37608
